Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Total Heating Rate [W](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Electricity Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 03/19  05:00:00,-10.89166667,6.858333333,0,-5.088223662,0.000929996,0,0,0,0,0,0
 03/19  06:00:00,-11.45,6.575,0,-5.711465856,0.000904335,0,0,0,0,0,0
 03/19  07:00:00,-11.7,7.516666667,129.6388889,-5.896163701,0.000875023,0,0,0,0,0,0
 03/19  08:00:00,-11.35,8.566666667,296.3333333,-5.134940284,0.000890529,0,0,0,0,0,0
 03/19  09:00:00,-10.10833333,9.716666667,608.4166667,-3.513178325,0.00093682,0,0,0,0,0,0
 03/19  10:00:00,-9.108333333,8.2,802.5833333,-1.810328829,0.000989702,0,0,0,0,0,0
 03/19  11:00:00,-7.908333333,8.275,913.9166667,-0.547569276,0.001088549,0,0,0,0,0,0
 03/19  12:00:00,-5.916666667,9.108333333,989.4166667,0.499110651,0.001236652,0,0,0,0,0,0
 03/19  13:00:00,-3.716666667,8.083333333,994.25,1.714796852,0.001341596,0,0,0,0,0,0
 03/19  14:00:00,-1.808333333,7.85,977.25,3.545882423,0.00143415,0,0,0,0,0,0
 03/19  15:00:00,-1.1,8.1,928.6666667,5.470616784,0.001493966,0,0,0,0,0,0
 03/19  16:00:00,-0.458333333,9.033333333,851.6666667,7.164395268,0.001482732,0,0,0,0,0,0
 03/19  17:00:00,0,8.241666667,646.5,8.291770187,0.001517157,0,0,0,0,0,0
 03/19  18:00:00,-0.641666667,8.191666667,343.8333333,7.981573017,0.001468619,0,0,0,0,0,0
 03/19  19:00:00,-1.45,8.433333333,0,6.131431345,0.001391274,0,0,0,0,0,0
 03/19  20:00:00,-1.991666667,8.566666667,0,4.754644468,0.001386347,0,0,0,0,0,0
 03/19  21:00:00,-2.55,7.441666667,0,3.688092578,0.00138609,0,0,0,0,0,0
 03/19  22:00:00,-3.441666667,7.391666667,0,2.656812222,0.00135479,0,0,0,0,0,0
 03/19  23:00:00,-4.191666667,8.1,0,1.70902731,0.001313569,0,0,0,0,0,0
 03/19  24:00:00,-4.75,7.75,0,0.916801244,0.001313837,0,0,0,0,0,0
 03/20  01:00:00,-5.35,7.85,0,0.15866086,0.001321427,0,0,0,0,0,0
 03/20  02:00:00,-5.891666667,6.466666667,0,-0.542244926,0.001294443,0,0,0,0,0,0
 03/20  03:00:00,-6.45,6.583333333,0,-1.21091213,0.001249908,0,0,0,0,0,0
 03/20  04:00:00,-6.991666667,7.85,0,-1.852662359,0.001228215,0,0,0,0,0,0
 03/20  05:00:00,-7.55,8.391666667,0,-2.466384507,0.001196797,0,0,0,0,0,0
 03/20  06:00:00,-8.091666667,7.316666667,0,-3.059597773,0.001195201,0,0,0,0,0,0
 03/20  07:00:00,-8.3,5.758333333,211.9166667,-3.042648156,0.001197344,0,0,0,0,0,0
 03/20  08:00:00,-7.658333333,4.775,636.4166667,19.12017531,0.00154471,8979.81506,10544.78699,0,37751564.63,37961233.15,3110400
 03/20  09:00:00,-6.558333333,3.466666667,771.1666667,20.00045764,0.001751366,5079.842722,6183.868848,0,22052259.33,22261927.85,3110400
 03/20  10:00:00,-5.108333333,2.8,871.6666667,20.00019493,0.00180732,3558.650112,4157.623635,0,14759341.62,14967445.09,3110400
 03/20  11:00:00,-3.758333333,3.266666667,906.3333333,20.00145967,0.001927468,2755.713625,3055.044156,0,10825025.27,10998158.96,3110400
 03/20  12:00:00,-1.725,3.6,907.6666667,20.00003083,0.002092142,2126.64725,2151.061959,0,7623773.461,7743823.052,3110400
 03/20  13:00:00,0.1,3.6,866.25,20.00000559,0.002267293,1528.989445,1431.639711,0,5075207.994,5153902.961,3110400
 03/20  14:00:00,1.241666667,1.5,774.1666667,20.00000255,0.002378969,954.4967814,868.0442598,0,3077691.823,3124959.335,3110400
 03/20  15:00:00,1.991666667,1.283333333,649.8333333,20.00000048,0.002497843,388.0709684,348.790774,0,1236776.578,1255646.787,3110400
 03/20  16:00:00,2.55,0.916666667,463.9166667,20.00000134,0.002131168,849.5733094,712.1264851,0,2525331.45,2563655.346,2073600
 03/20  17:00:00,2.45,0,271.6666667,20.00000151,0.001969282,915.6248438,759.3419963,0,2692729.151,2733631.187,2073600
 03/20  18:00:00,1.908333333,0.816666667,68.91666667,14.68548491,0.001845683,0,0,0,0,0,0
 03/20  19:00:00,1.058333333,0.583333333,0,11.7767754,0.001846382,0,0,0,0,0,0
 03/20  20:00:00,-0.391666667,0.991666667,0,9.636300455,0.001874863,0,0,0,0,0,0
 03/20  21:00:00,-1.45,2.341666667,0,7.881405418,0.001963822,0,0,0,0,0,0
 03/20  22:00:00,-1.7,2.8,0,6.655798253,0.002002191,0,0,0,0,0,0
 03/20  23:00:00,-1.7,2.8,0,5.73857129,0.002003957,0,0,0,0,0,0
 03/20  24:00:00,-1.991666667,2.45,0,4.872789834,0.001924328,0,0,0,0,0,0
 03/21  01:00:00,-2.55,2.725,0,3.973354358,0.002009348,0,0,0,0,0,0
 03/21  02:00:00,-2.45,3.858333333,0,3.340814901,0.002037179,0,0,0,0,0,0
 03/21  03:00:00,-2.2,5.216666667,0,2.936619927,0.002010799,0,0,0,0,0,0
 03/21  04:00:00,-1.908333333,6.791666667,0,2.615505766,0.002072138,0,0,0,0,0,0
 03/21  05:00:00,-1.991666667,7.325,0,2.276129191,0.002080806,0,0,0,0,0,0
 03/21  06:00:00,-2.2,6.091666667,0,1.869466397,0.002105114,0,0,0,0,0,0
 03/21  07:00:00,-2.2,6.408333333,169.9444444,1.943096594,0.002160542,0,0,0,0,0,0
 03/21  08:00:00,-1.558333333,7.725,386.0833333,19.65984674,0.002559549,6473.444423,6137.941372,0,21891505.09,22096588.94,3110400
 03/21  09:00:00,-0.458333333,8.858333333,668.9166667,20.00081442,0.002884094,3167.694226,2929.846538,0,10382841.55,10547447.54,3110400
 03/21  10:00:00,0.991666667,7.825,763.9166667,20.00000949,0.003052933,1908.3275,1734.23429,0,6147418.507,6243243.443,3110400
 03/21  11:00:00,1.991666667,7.166666667,674.25,20.00000358,0.003187178,1305.869254,1148.85113,0,4073208.115,4135864.069,3110400
 03/21  12:00:00,2.841666667,7.325,739.0833333,20.00000185,0.00323737,947.7659468,802.1009841,0,2844324.354,2887563.543,3110400
 03/21  13:00:00,3.941666667,6.091666667,841.1666667,20.00000071,0.003385029,589.702554,477.9918482,0,1695276.65,1720770.654,3110400
 03/21  14:00:00,4.75,5.941666667,778.0833333,20.01444534,0.003649982,153.3723247,123.1326394,0,436743.506,443277.5017,3110400
 03/21  15:00:00,5.35,5.758333333,590.25,20.80165548,0.003793336,0,0,0,0,0,3110400
 03/21  16:00:00,4.9,5.125,176.6666667,20.04930607,0.003219525,478.8494455,354.5647123,0,1257445.395,1276432.964,2073600
 03/21  17:00:00,4.108333333,5.175,16.41666667,20.00000163,0.00298882,1024.114575,801.2489489,0,2841587.801,2884496.216,2073600
 03/21  18:00:00,3.258333333,4.016666667,0.333333333,14.17346378,0.002904109,0,0,0,0,0,0
 03/21  19:00:00,2.158333333,2.575,0,11.53175619,0.002904423,0,0,0,0,0,0
 03/21  20:00:00,1.7,2.2,0,10.00329284,0.002902434,0,0,0,0,0,0
 03/21  21:00:00,1.7,0.916666667,0,8.994616756,0.002851652,0,0,0,0,0,0
 03/21  22:00:00,1.7,0,0,8.193181824,0.00277418,0,0,0,0,0,0
 03/21  23:00:00,1.7,1.283333333,0,7.517061512,0.002720207,0,0,0,0,0,0
 03/21  24:00:00,1.35,1.733333333,0,6.815812132,0.002649093,0,0,0,0,0,0
 03/22  01:00:00,1.1,1.4,0,6.156445906,0.002651487,0,0,0,0,0,0
 03/22  02:00:00,0.458333333,1.575,0,5.450182605,0.002693661,0,0,0,0,0,0
 03/22  03:00:00,0.35,0.708333333,0,4.892899236,0.002708671,0,0,0,0,0,0
 03/22  04:00:00,-0.1,0.991666667,0,4.383927578,0.002754199,0,0,0,0,0,0
 03/22  05:00:00,-0.25,0.708333333,0,3.897492968,0.002844509,0,0,0,0,0,0
 03/22  06:00:00,0,0.991666667,0,3.701858922,0.002814929,0,0,0,0,0,0
 03/22  07:00:00,0,0.708333333,29,3.625766803,0.002940472,0,0,0,0,0,0
 03/22  08:00:00,0.641666667,0.816666667,11.75,19.69885705,0.003413316,5972.582866,5381.766254,0,19169158.62,19374358.52,3110400
